기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2019.06,서울시,"3,120,332","12,502","2,901,657","206,173","2,660,664","4,444","2,529,506","126,714","117,705","3,694","96,725","17,286","333,872","4,007","272,689","57,176","8,091",357,"2,737","4,997","448,471","4,528","443,943"
2019.06,종로구,"50,263","3,892","44,703","1,668","40,831","1,633","38,703",495,"3,989","1,771","1,901",317,"5,263",401,"4,055",807,180,87,44,49,"13,110",460,"12,650"
2019.06,중구,"51,747","1,161","45,700","4,886","41,011",287,"38,089","2,635","3,380",667,"2,341",372,"7,136",190,"5,188","1,758",220,17,82,121,"14,636",246,"14,390"
2019.06,용산구,"76,993",363,"74,411","2,219","67,384",141,"66,251",992,"2,491",55,"2,345",91,"6,990",156,"5,742","1,092",128,11,73,44,"16,067",197,"15,870"
2019.06,성동구,"106,073",323,"94,692","11,058","89,639",97,"82,517","7,025","5,155",46,"2,809","2,300","11,097",163,"9,307","1,627",182,17,59,106,"20,446",112,"20,334"
2019.06,광진구,"99,539",285,"93,758","5,496","83,458",86,"80,020","3,352","3,422",41,"3,014",367,"12,380",152,"10,692","1,536",279,6,32,241,"18,285",194,"18,091"
2019.06,동대문구,"98,001",314,"92,382","5,305","81,061",106,"78,019","2,936","3,773",59,"3,585",129,"12,997",138,"10,712","2,147",170,11,66,93,"23,654",190,"23,464"
2019.06,중랑구,"113,295",234,"103,428","9,633","92,743",67,"86,628","6,048","4,780",33,"4,180",567,"15,354",118,"12,536","2,700",418,16,84,318,"24,211",109,"24,102"
2019.06,성북구,"118,063",291,"112,305","5,467","101,670",100,"99,012","2,558","5,158",40,"3,956","1,162","11,062",142,"9,275","1,645",173,9,62,102,"26,396",183,"26,213"
2019.06,강북구,"76,559",319,"71,503","4,737","63,268",99,"60,546","2,623","3,903",59,"3,101",743,"9,228",146,"7,815","1,267",160,15,41,104,"21,845",62,"21,783"
2019.06,도봉구,"96,873",266,"89,119","7,488","81,826",91,"76,707","5,028","3,813",40,"3,327",446,"11,001",128,"9,014","1,859",233,7,71,155,"14,742",156,"14,586"
2019.06,노원구,"152,686",326,"143,210","9,150","133,317",89,"127,251","5,977","5,602",49,"4,673",880,"13,421",178,"11,213","2,030",346,10,73,263,"14,909",36,"14,873"
2019.06,은평구,"130,260",288,"122,845","7,127","111,478",100,"107,145","4,233","5,193",41,"4,370",782,"13,323",135,"11,256","1,932",266,12,74,180,"20,983",101,"20,882"
2019.06,서대문구,"87,568",458,"81,135","5,975","75,340",202,"71,677","3,461","3,370",102,"2,816",452,"8,549",143,"6,576","1,830",309,11,66,232,"14,942",157,"14,785"
2019.06,마포구,"117,664",335,"110,316","7,013","101,062",96,"96,888","4,078","4,218",55,"3,436",727,"12,139",167,"9,883","2,089",245,17,109,119,"17,150",181,"16,969"
2019.06,양천구,"149,940",324,"140,997","8,619","128,735",122,"123,907","4,706","5,112",57,"4,270",785,"15,532",137,"12,680","2,715",561,8,140,413,"18,682",161,"18,521"
2019.06,강서구,"203,724",339,"185,016","18,369","174,243",116,"161,117","13,010","7,620",44,"6,071","1,505","21,453",166,"17,690","3,597",408,13,138,257,"18,672",173,"18,499"
2019.06,구로구,"143,864",280,"129,484","14,100","119,739",85,"109,149","10,505","6,241",53,"5,488",700,"17,522",133,"14,683","2,706",362,9,164,189,"15,960",197,"15,763"
2019.06,금천구,"87,349",127,"81,370","5,852","69,423",34,"66,395","2,994","4,325",14,"3,817",494,"13,436",75,"11,086","2,275",165,4,72,89,"11,532",39,"11,493"
2019.06,영등포구,"142,306",364,"132,837","9,105","116,460",133,"112,306","4,021","5,220",46,"4,954",220,"19,442",173,"15,035","4,234","1,184",12,542,630,"16,316",159,"16,157"
2019.06,동작구,"106,033",316,"103,012","2,705","93,539",101,"92,286","1,152","3,298",51,"3,115",132,"8,818",150,"7,533","1,135",378,14,78,286,"15,122",189,"14,933"
2019.06,관악구,"120,611",313,"114,610","5,688","103,107",94,"99,812","3,201","4,691",45,"4,357",289,"12,550",163,"10,370","2,017",263,11,71,181,"24,471",246,"24,225"
2019.06,서초구,"181,583",560,"167,382","13,641","159,219",226,"151,413","7,580","5,030",143,"4,082",805,"16,977",180,"11,713","5,084",357,11,174,172,"12,614",283,"12,331"
2019.06,강남구,"233,951",374,"214,756","18,821","211,208",135,"195,280","15,793","6,097",47,"5,200",850,"16,243",177,"14,053","2,013",403,15,223,165,"16,946",309,"16,637"
2019.06,송파구,"240,441",380,"227,018","13,043","206,264",121,"199,662","6,481","7,164",91,"5,454","1,619","26,603",159,"21,764","4,680",410,9,138,263,"20,381",235,"20,146"
2019.06,강동구,"134,946",270,"125,668","9,008","114,639",83,"108,726","5,830","4,660",45,"4,063",552,"15,356",137,"12,818","2,401",291,5,61,225,"16,387",153,"16,234"
2019.06,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,12
